,region,new,price,bedrm,bth,sqft
8601 Corrington Ave,"Oldham Farms, Kansas City, MO",NEW,"$139,900",4bd,2ba,"1,130 sqft"
1200 W 55th St,"Sunset Hill West, Kansas City, MO",OLD,"$5,495,000",7bd,9ba,"14,863 sqft"
5308 NE 45th Ter,"Kansas City, MO",OLD,"$155,000",3bd,2ba,"1,328 sqft"
8118 N Tipton Ave,"Kansas City, MO",FOR SALE BY OWNER,"$305,000",4bd,3ba,"2,511 sqft"
7908 N Spruce Ave,"Kansas City, MO",OLD,"$350,000",3bd,3ba,"1,963 sqft"
321 N Wheeling Ave,"North India Mound, Kansas City, MO",OLD,"$149,900",3bd,2ba,"1,451 sqft"
5250 Franklin Dr,"Kansas City, MO",OLD,"$100,000",3bd,2ba,"2,636 sqft"
6105 NE 120th St,"Kansas City, MO",NEWFOR SALE BY OWNER,"$329,500",4bd,3ba,2 sqft
1200 Ward Pkwy,"Westwood, Kansas City, MO",OLD,"$405,000",3bd,2ba,"1,712 sqft"
7809 N Strathbury Ave,"Kansas City, MO",OLD,"$310,000",4bd,3ba,"2,400 sqft"
7838 James A Reed Rd,"Park Farms, Kansas City, MO",OLD,"$83,200",3bd,2ba,"1,306 sqft"
7420 N Strathbury Ave,"Kansas City, MO",OLD,"$399,250",5bd,3ba,"2,451 sqft"
5337 Woodland Ave,"Blue Hills, Kansas City, MO",OLD,"$130,000",3bd,2ba,908 sqft
4924 NE 38th St,"Kansas City, MO",FOR SALE BY OWNER,"$141,000",3bd,2ba,"1,300 sqft"
1111 W 77th Ter,"Ward Parkway, Kansas City, MO",OLD,"$365,000",3bd,3ba,"2,612 sqft"
5821 Marion Ave,"Faireway Hills, Kansas City, MO",NEW,"$195,000",3bd,3ba,"2,008 sqft"
127 Kensington Ave,"South India Mound, Kansas City, MO",NEW,"$210,000",3bd,2ba,"1,683 sqft"
1041 W 71st Ter,"Ward Parkway, Kansas City, MO",OLD,"$599,000",3bd,3ba,"2,454 sqft"
2 E 110th St,"Bridlespur, Kansas City, MO",NEW,"$269,900",3bd,2ba,"1,415 sqft"
2309 NE 53rd St,"Kansas City, MO",FOR SALE BY OWNER,"$154,500",3bd,2ba,"1,400 sqft"
433 W 63rd St,"Greenway Fields, Kansas City, MO",OLD,"$395,000",3bd,2ba,"1,877 sqft"
1021 E 84th St,"Kansas City, MO",OLD,"$148,000",2bd,1ba,"1,278 sqft"
407 E 105th Ter,"Bridlespur, Kansas City, MO",NEW,"$215,000",3bd,3ba,"1,857 sqft"
1812 E 67th St,"Kansas City, MO",NEW,"$129,900",3bd,2ba,"1,286 sqft"
101 E Pocahontas Ln,"Santa Fe Hills, Kansas City, MO",NEW,"$174,900",2bd,1ba,768 sqft
10605 N Willow Ave,"Kansas City, MO",OLD,"$1,075,000",5bd,5ba,"5,019 sqft"
22 W 78th Ter,"Tower Homes, Kansas City, MO",OLD,"$349,700",3bd,2ba,"1,544 sqft"
12021 E 75th St,"Little Blue Valley, Raytown, MO",OLD,"$295,000",3bd,4ba,"2,758 sqft"
7326 Tracy Ave,"East Meyer 6, Kansas City, MO",OLD,"$139,900",3bd,2ba,"1,123 sqft"
7444 Summit St,"Ward Parkway, Kansas City, MO",OLD,"$299,900",3bd,3ba,"1,998 sqft"
301 W 116th St,"Verona Hills, Kansas City, MO",OLD,"$314,950",4bd,4ba,"3,170 sqft"
3735 Wyandotte St,"Hanover Place, Kansas City, MO",OLD,"$290,000",3bd,2ba,"1,802 sqft"
319 N Walnut St,"Kansas City, MO",OLD,"$86,000",2bd,2ba,800 sqft
9009 NE 122nd St,"Liberty, MO",OLD,"$540,000",3bd,4ba,"2,872 sqft"
5635 Rockhill Rd,"Western 49-63, Kansas City, MO",OLD,"$299,900",3bd,3ba,"1,726 sqft"
4630 E 43rd Ter,"Vineyard, Kansas City, MO",OLD,"$84,900",3bd,2ba,"1,552 sqft"
3840 College Ave,"Oak Park Northwest, Kansas City, MO",OLD,"$79,000",3bd,1ba,"1,184 sqft"
6505 State Line Rd,"Romanelli West, Kansas City, MO",OLD,"$1,499,000",8bd,8ba,"13,186 sqft"
3344 S Benton Ave,"Oak Park Northwest, Kansas City, MO",OLD,"$120,000",6bd,3ba,"2,435 sqft"
2821 NE 39th Ter,"Kansas City, MO",OLD,"$115,000",2bd,2ba,864 sqft
3321 Holmes St,"North Hyde Park, Kansas City, MO",OLD,"$219,000",4bd,3ba,"2,350 sqft"
8021 NE 100th St,"Kansas City, MO",OLD,"$375,000",4bd,4ba,"2,882 sqft"
5300 NW 56th St,"Kansas City, MO",OLD,"$565,000",3bd,3ba,"2,756 sqft"
3610 E 10th St,"Lykins, Kansas City, MO",OLD,"$189,999",5bd,3ba,"2,408 sqft"
3304 E 60th St,"South Town Fork Creek, Kansas City, MO",OLD,"$135,000",3bd,2ba,"1,462 sqft"
540 Prospect Ave,"Pendleton Heights, Kansas City, MO",OLD,"$435,000",5bd,3ba,"2,878 sqft"
5120 NE Barnes Ave,"Kansas City, MO",OLD,"$225,000",3bd,2ba,"1,216 sqft"
4039 Wabash Ave,"Ivanhoe Southeast, Kansas City, MO",NEW,"$55,000",3bd,1ba,"1,245 sqft"
4917 N Wallace Ave,"Kansas City, MO",FOR SALE BY OWNER,"$119,000",3bd,2ba,894 sqft
3514 NE 48th St,"Kansas City, MO",OLD,"$220,000",4bd,2ba,"1,906 sqft"
4808 NW Harmony Ln,"Kansas City, MO",OLD,"$205,000",3bd,2ba,"2,208 sqft"
10517 N Flora Ave,"Kansas City, MO",OLD,"$389,950",4bd,4ba,"2,444 sqft"
12370 Summit St,"Blue Hills Estates, Kansas City, MO",BANK OWNED,"$375,000",4bd,4ba,"3,530 sqft"
4301 Carlisle Ave,"Sterling Acres, Kansas City, MO",OLD,"$111,900",2bd,2ba,"1,356 sqft"
4115 Tracy Ave,"Manheim Park, Kansas City, MO",OLD,"$169,900",2bd,1ba,950 sqft
4159 N Jackson Ave,"Kansas City, MO",OLD,"$162,500",4bd,2ba,"1,539 sqft"
4439 Forest Ave,"Manheim Park, Kansas City, MO",FOR SALE BY OWNER,"$119,900",2bd,2ba,"1,088 sqft"
8037 Washington St,"West Waldo, Kansas City, MO",OLD,"$204,500",3bd,2ba,"1,155 sqft"
920 W 42nd St,"Volker, Kansas City, MO",OLD,"$164,900",2bd,1ba,972 sqft
404 E 41st St,"Southmoreland, Kansas City, MO",OLD,"$274,500",4bd,3ba,"1,711 sqft"
8500 N Kensington Ave,"Kansas City, MO",OLD,"$309,000",4bd,2ba,"2,585 sqft"
9106 Grand Ave,"Bonne Hills, Kansas City, MO",NEW,"$310,000",3bd,2ba,"1,806 sqft"
1010 E 33rd St,"North Hyde Park, Kansas City, MO",OLD,"$435,000",5bd,5ba,"3,296 sqft"
10718 N Holly St,"Kansas City, MO",NEW,"$419,995",4bd,3ba,"2,525 sqft"
4441 Paseo Blvd,"Kansas City, MO",OLD,"$349,950",6bd,3ba,"3,000 sqft"
728 E 72nd Ter,"Tower Homes, Kansas City, MO",OLD,"$229,500",4bd,2ba,"1,311 sqft"
5210 Skiles Ave,"Eastwood Hill East, Kansas City, MO",NEW,"$90,000",3bd,1ba,"1,292 sqft"
3828 Baltimore Ave,"Hanover Place, Kansas City, MO",OLD,"$440,000",5bd,4ba,"3,904 sqft"
5400 Olive St,"Blue Hills, Kansas City, MO",NEW,"$49,500",4bd,3ba,"1,465 sqft"
4427 Windsor Ave,"North India Mound, Kansas City, MO",OLD,"$165,000",4bd,2ba,"1,466 sqft"
1225 Collins Ave,"West Blue Valley, Kansas City, MO",NEW,"$119,000",3bd,2ba,"1,452 sqft"
10309 N Quincy Ave,"Kansas City, MO",OLD,"$319,900",4bd,3ba,1 sqft
6155 State Line Rd,"Stanford Gardens, Kansas City, MO",OLD,"$579,000",4bd,3ba,"2,714 sqft"
2312 Blue Ridge Ter,"West Blue Township, Independence, MO",NEW,"$144,950",3bd,2ba,"1,142 sqft"
3935 Central St,"Old Westport, Kansas City, MO",OLD,"$349,900",4bd,2ba,"2,016 sqft"
408 E 79th Ter,"Rolling Meadows, Kansas City, MO",NEW,"$155,000",3bd,2ba,"1,900 sqft"
2201 NW 84th Ter,"Kansas City, MO",OLD,"$225,000",3bd,3ba,"1,560 sqft"
3510 Garner Ave,"Sarritt Point, Kansas City, MO",OLD,"$145,000",3bd,2ba,"1,536 sqft"
3007 Monroe Ave,"Ingleside, Kansas City, MO",NEW,"$25,000",2bd,1ba,907 sqft
4229 N Jackson Ave,"Kansas City, MO",OLD,"$165,000",3bd,3ba,"1,659 sqft"
1319 Brooklyn Ave,"Independence Plaza, Kansas City, MO",OLD,"$47,500",3bd,2ba,"1,376 sqft"
805 Gladstone Ave,"Independence Plaza, Kansas City, MO",OLD,"$150,000",3bd,3ba,"1,119 sqft"
4230 Benton Blvd,"Oak Park Southwest, Kansas City, MO",NEW,"$85,000",3bd,2ba,"1,410 sqft"
6241 McGee St,"Morningside, Kansas City, MO",OLD,"$375,000",3bd,3ba,"2,924 sqft"
2611 E 28th St,"Santa Fe, Kansas City, MO",OLD,"$185,000",5bd,3ba,"4,628 sqft"
7724 N McGee St,"Kansas City, MO",OLD,"$240,000",3bd,2ba,"1,121 sqft"
5330 N Spruce Ave,"Kansas City, MO",OLD,"$259,900",5bd,3ba,"2,332 sqft"
2115 E 74th St,"East Meyer 7, Kansas City, MO",OLD,"$197,500",3bd,2ba,"2,616 sqft"
6008 NE 120th St,"Kansas City, MO",OLD,"$309,900",4bd,3ba,"1,928 sqft"
2016 NE 54th St,"Kansas City, MO",OLD,"$159,900",3bd,1ba,864 sqft
11501 Wornall Rd,"Red Ridge South, Kansas City, MO",OLD,"$405,000",6bd,4ba,"5,418 sqft"
8323 NE 104th Ter,"Kansas City, MO",OLD,"$329,900",4bd,3ba,2 sqft
7415 N Granby Ave,"Kansas City, MO",OLD,"$319,000",4bd,3ba,"2,239 sqft"
5910 Kenwood Ave,"Western 49-63, Kansas City, MO",OLD,"$315,000",4bd,2ba,"1,744 sqft"
4246 Bell St,"Volker, Kansas City, MO",OLD,"$247,400",2bd,1ba,924 sqft
729 Corbin Ter,"Plaza Westport, Kansas City, MO",NEW,"$640,000",3bd,3ba,"2,077 sqft"
9512 Belleview Ave,"Lea Manor, Kansas City, MO",OLD,"$285,000",3bd,3ba,"2,250 sqft"
5554 Crestwood Dr,"Western 49-63, Kansas City, MO",OLD,"$525,000",3bd,3ba,"2,384 sqft"
1720 Summit St,"Westside North, Kansas City, MO",OLD,"$415,000",3bd,3ba,"2,483 sqft"
2624 Tracy Ave,"Beacon Hills, Kansas City, MO",OLD,"$309,000",5bd,3ba,"2,416 sqft"
305 E 107th Ter,"Bridlespur, Kansas City, MO",OLD,"$226,000",3bd,3ba,"3,656 sqft"
3332 Tracy Ave,"Kansas City, MO",OLD,"$324,000",4bd,4ba,"2,601 sqft"
7306 Walnut St,"Tower Homes, Kansas City, MO",OLD,"$324,900",4bd,2ba,1 sqft
4934 Pennsylvania Ave,"Sunset Hill, Kansas City, MO",OLD,"$1,250,000",5bd,5ba,"3,939 sqft"
8505 N Sycamore Ave,"Kansas City, MO",OLD,"$914,900",5bd,6ba,"7,310 sqft"
5124 Stanton Dr,"Blue Vue Hills, Kansas City, MO",OLD,"$200,000",3bd,2ba,"1,678 sqft"
3745 Central St,"Hanover Place, Kansas City, MO",OLD,"$445,000",5bd,4ba,"3,326 sqft"
8610 N Donnelly Ave,"Kansas City, MO",OLD,"$987,900",5bd,6ba,"7,150 sqft"
5118 N Sycamore Dr,"Kansas City, MO",OLD,"$175,000",3bd,2ba,"1,716 sqft"
4507 N Mulberry Dr,"Kansas City, MO",OLD,"$650,000",4bd,5ba,"5,860 sqft"
3614 Pennsylvania Ave,"Valentine, Kansas City, MO",OLD,"$699,000",5bd,4ba,"4,919 sqft"
3 NE 90th Ter,"Kansas City, MO",OLD,"$320,000",4bd,3ba,"2,505 sqft"
3025 Elmwood Ave,"Knoches Park, Kansas City, MO",OLD,"$92,000",4bd,2ba,"1,217 sqft"
8716 E 77th St,"Park Farms, Kansas City, MO",OLD,"$162,000",4bd,2ba,"1,718 sqft"
6100 Morningside Dr,"Morningside, Kansas City, MO",OLD,"$725,000",5bd,4ba,"3,970 sqft"
600 E 83rd St,"Rolling Meadows, Kansas City, MO",OLD,"$219,900",4bd,2ba,"1,549 sqft"
1601 Oakley Ave,"West Blue Valley, Kansas City, MO",OLD,"$40,000",3bd,1ba,"1,190 sqft"
5330 Oak St,"Kansas City, MO",OLD,"$1,350,000",4bd,4ba,"3,500 sqft"
4006 E 104th St,"St. Catherine's Gardens, Kansas City, MO",OLD,"$203,700",4bd,3ba,"2,328 sqft"
1837 Mercier St,"Westside North, Kansas City, MO",OLD,"$200,000",2bd,1ba,826 sqft
8109 Grand Ave,"Waldo Homes, Kansas City, MO",OLD,"$199,900",3bd,1ba,880 sqft
1008 NE 43rd Ter,"Kansas City, MO",OLD,"$99,900",2bd,1ba,772 sqft
728 W 121st St,"Verona Hills, Kansas City, MO",OLD,"$335,000",3bd,3ba,"2,452 sqft"
635 W 61st Ter,"Greenway Fields, Kansas City, MO",OLD,"$439,950",3bd,3ba,"2,752 sqft"
9619 NE 98th St,"Kansas City, MO",OLD,"$279,999",4bd,4ba,"2,466 sqft"
1215 Huntington Rd,"Stanford Gardens, Kansas City, MO",OLD,"$825,000",5bd,5ba,"3,471 sqft"
1129 E 5th St,"Kansas City, MO",OLD,"$305,000",3bd,2ba,"1,293 sqft"
4327 Tracy Ave,"Manheim Park, Kansas City, MO",NEW,"$179,950",2bd,1ba,"2,157 sqft"
2824 Wabash Ave,"Key Coalition, Kansas City, MO",OLD,"$149,000",3bd,2ba,"1,778 sqft"
3406 Wayne Ave,"Linwood Homeowner - Ivanhoe, Kansas City, MO",OLD,"$214,900",4bd,3ba,"1,931 sqft"
4330 McGee St,"Southmoreland, Kansas City, MO",OLD,"$425,000",4bd,3ba,"2,582 sqft"
2115 Holly St,"Westside North, Kansas City, MO",OLD,"$675,000",3bd,3ba,"2,568 sqft"
1039 Westover Rd,"Kansas City, MO",OLD,"$2,500,000",5bd,7ba,"7,604 sqft"
3006 E 32nd St,"Santa Fe, Kansas City, MO",OLD,"$69,000",5bd,2ba,"2,990 sqft"
4533 Forest Ave,"Manheim Park, Kansas City, MO",OLD,"$185,000",3bd,1ba,"1,582 sqft"
13335 Walnut St,"Martin City, Kansas City, MO",OLD,"$155,000",3bd,3ba,"1,416 sqft"
1215 W 59th St,"Stanford Gardens, Kansas City, MO",OLD,"$950,000",4bd,4ba,"3,642 sqft"
811 E 30th St,"Longfellow, Kansas City, MO",OLD,"$300,000",3bd,3ba,"2,332 sqft"
1900 NE 112th Ter,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$428,900",4bd,4ba,"2,640 sqft"
5024 N Richmond Ave,"Kansas City, MO",OLD,"$127,000",3bd,1ba,"2,028 sqft"
3300 Indiana Ave,"Oak Park Northwest, Kansas City, MO",OLD,"$99,999",2bd,2ba,"1,424 sqft"
7201 Irwin Rd,"Little Blue Valley, Kansas City, MO",OLD,"$675,000",5bd,7ba,"5,074 sqft"
1014 Agnes Ave,"Independence Plaza, Kansas City, MO",OLD,"$79,961",3bd,2ba,"1,620 sqft"
3603 E 57th St,"North Town Fork Creek, Kansas City, MO",OLD,"$65,000",4bd,2ba,"1,420 sqft"
9311 N Evanston Ave,"Kansas City, MO",OLD,"$899,900",5bd,6ba,"5,714 sqft"
3335 Park Ave,"Key Coalition, Kansas City, MO",OLD,"$59,000",2bd,1ba,"1,951 sqft"
9415 NE 98th Ter,"Kansas City, MO",OLD,"$499,900",5bd,4ba,1 sqft
819 W 62nd St,"Kansas City, MO",OLD,"$795,000",4bd,6ba,"5,367 sqft"
41 W 52nd St,"Kansas City, MO",OLD,"$749,000",5bd,5ba,"3,565 sqft"
1008 NE 104th Ter,"Kansas City, MO",FOR SALE BY OWNER,"$210,000",3bd,2ba,"1,508 sqft"
15051 Holmes Rd,"Richards Gebaur, Kansas City, MO",OLD,"$850,000",4bd,5ba,"6,835 sqft"
5208 Belleview Ave,"Sunset Hill, Kansas City, MO",OLD,"$2,999,000",5bd,6ba,"9,043 sqft"
6309 E 101st Ter,"Fairlane, Kansas City, MO",OLD,"$115,000",3bd,2ba,"1,056 sqft"
8612 NE 89th Pl,"Kansas City, MO",OLD,"$389,950",4bd,4ba,"2,564 sqft"
3325 Wyandotte St,"Broadway Gillham, Kansas City, MO",OLD,"$300,000",4bd,3ba,"2,642 sqft"
725 Ward Pkwy,"Sunset Hill, Kansas City, MO",OLD,"$3,150,000",4bd,7ba,"7,812 sqft"
4321 N Brighton Ave,"Kansas City, MO",FOR SALE BY OWNER,"$160,000",3bd,2ba,"1,560 sqft"
4502 N Campbell St,"Kansas City, MO",OLD,"$129,950",4bd,1ba,"1,108 sqft"
132 N Chelsea Ave,"North India Mound, Kansas City, MO",OLD,"$157,500",3bd,2ba,"1,732 sqft"
210 Monroe Ave,"Sarritt Point, Kansas City, MO",OLD,"$159,000",3bd,2ba,"1,398 sqft"
4409 Wyoming St,"West Plaza, Kansas City, MO",OLD,"$450,000",4bd,2ba,"1,945 sqft"
7732 N Kansas Ave,"Kansas City, MO",FOR SALE BY OWNER,"$560,000",5bd,6ba,"4,673 sqft"
3541 Harrison Blvd,"Central Hyde Park, Kansas City, MO",OLD,"$489,500",4bd,3ba,"3,170 sqft"
10109 NE 101st St,"Kansas City, MO",OLD,"$399,900",4bd,4ba,"2,785 sqft"
5 NW Briar Point Dr,"Kansas City, MO",OLD,"$975,000",4bd,7ba,"8,023 sqft"
7612 Sni A Bar Rd,"Eastwood Hill East, Kansas City, MO",NEWAUCTION,Contact For Price,2bd,4ba,864 sqft
4024 Clark Ave,"Volker, Kansas City, MO",FOR SALE BY OWNER,"$253,000",5bd,3ba,"2,065 sqft"
3514 N Wabash Ave,"Kansas City, MO",OLD,"$287,000",3bd,2ba,"1,990 sqft"
2816 E 35th St,"Oak Park Northwest, Kansas City, MO",OLD,"$70,000",5bd,2ba,"3,026 sqft"
11256 N Holly St,"Kansas City, MO",OLD,"$280,000",3bd,3ba,"1,643 sqft"
3805 Campbell St,"Central Hyde Park, Kansas City, MO",OLD,"$625,000",4bd,1ba,"4,428 sqft"
2917 E 28th St,"Santa Fe, Kansas City, MO",OLD,"$70,000",3bd,2ba,"1,128 sqft"
8407 Blue Ridge Blvd,"Park Farms, Raytown, MO",OLD,"$159,900",3bd,2ba,"1,283 sqft"
135 N Elmwood Ave,"North India Mound, Kansas City, MO",OLD,"$100,000",3bd,3ba,"1,456 sqft"
3946 Lawn Ave,"Vineyard, Kansas City, MO",OLD,"$79,950",6bd,2ba,"2,208 sqft"
512 Spruce Ave,"South India Mound, Kansas City, MO",OLD,"$90,000",3bd,2ba,"1,483 sqft"
3204 Flora Ave,"Linwood Homeowner - Ivanhoe, Kansas City, MO",OLD,"$500,000",5bd,3ba,"5,000 sqft"
3619 Wabash Ave,"Ivanhoe Northeast, Kansas City, MO",OLD,"$55,000",5bd,2ba,"1,727 sqft"
708 W 45th St,"Plaza Westport, Kansas City, MO",OLD,"$610,000",3bd,3ba,"2,077 sqft"
1114 NE 44th St,"Kansas City, MO",OLD,"$106,500",4bd,1ba,"1,144 sqft"
4320 Flora Ave,"Kansas City, MO",OLD,"$66,500",2bd,1ba,"1,504 sqft"
4740 N 46th St,"Kansas City, MO",OLD,"$198,900",3bd,3ba,"1,475 sqft"
329 Spruce Ave,"South India Mound, Kansas City, MO",OLD,"$157,500",3bd,3ba,"1,368 sqft"
2906 NW 59th St,"Kansas City, MO",FOR SALE BY OWNER,"$312,500",4bd,3ba,"2,038 sqft"
2305 E 110th St,"St. Catherine's Gardens, Kansas City, MO",FOR SALE BY OWNER,"$186,000",3bd,2ba,"1,596 sqft"
7602 E 112th Ter,"Ruskin Heights, Kansas City, MO",OLD,"$135,000",4bd,1ba,"1,176 sqft"
8120 NW Park Forest Ln,"Kansas City, MO",OLD,"$525,000",5bd,5ba,"5,092 sqft"
3023 Highland Ave,"Mount Hope, Kansas City, MO",OLD,"$215,000",5bd,3ba,"1,925 sqft"
1208 NE 44th St,"Kansas City, MO",OLD,"$125,000",3bd,1ba,925 sqft
3732 NW Old Stagecoach Rd,"Kansas City, MO",OLD,"$307,080",3bd,2ba,"1,419 sqft"
606 W Red Bridge Rd,"Country Lane Estates, Kansas City, MO",OLD,"$499,000",4bd,4ba,"2,960 sqft"
10525 N Shelby Ave,"Kansas City, MO",OLD,"$465,000",5bd,4ba,"2,823 sqft"
5115 Forest Ave,"Eastern 49-63, Kansas City, MO",OLD,"$199,000",3bd,3ba,"2,200 sqft"
1407 NW 43rd Ct,"Kansas City, MO",OLD,"$1,100,000",5bd,6ba,"7,280 sqft"
11720 Cherry St,"Red Ridge South, Kansas City, MO",OLD,"$349,000",5bd,3ba,"3,200 sqft"
1809 E 73rd St,"East Meyer 7, Kansas City, MO",OLD,"$159,900",3bd,1ba,"1,310 sqft"
1055 W 56th St,"Kansas City, MO",OLD,"$2,799,000",5bd,7ba,"7,444 sqft"
104 Van Brunt Blvd,"North India Mound, Kansas City, MO",OLD,"$275,000",6bd,3ba,"3,538 sqft"
110 Brooklyn Ave,"Pendleton Heights, Kansas City, MO",OLD,"$165,000",2bd,1ba,"1,772 sqft"
8629 N Utica Ave,"Kansas City, MO",OLD,"$485,000",4bd,4ba,"3,930 sqft"
11412 N Michigan Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$484,900",4bd,3ba,"3,011 sqft"
1131 E 78th St,"East Meyer 6, Kansas City, MO",OLD,"$129,500",3bd,3ba,"1,774 sqft"
9207 NE 117th Ter,"Kansas City, MO",OLD,"$314,900",4bd,3ba,"2,000 sqft"
1237 W 67th St,"Romanelli West, Kansas City, MO",OLD,"$439,900",3bd,2ba,"2,133 sqft"
619 E 46th St,"Southmoreland, Kansas City, MO",OLD,"$795,000",6bd,4ba,"4,350 sqft"
7345 Tracy Ave,"East Meyer 6, Kansas City, MO",OLD,"$175,000",3bd,1ba,"2,772 sqft"
10035 N Palmer Ave,"Kansas City, MO",OLD,"$469,900",5bd,4ba,"3,060 sqft"
1008 NE 44th Ter,"Kansas City, MO",OLD,"$139,900",3bd,1ba,936 sqft
100 W 79th St,"Tower Homes, Kansas City, MO",OLD,"$153,000",2bd,1ba,828 sqft
3911 N Elmwood Ave,"Kansas City, MO",OLD,"$99,900",2bd,1ba,890 sqft
2122 E 82nd Ter,"Marlborough Heights - Marlborough Pride, Kansas City, MO",OLD,"$29,100",2bd,1ba,709 sqft
7908 N Ditzler Ave,"Kansas City, MO",OLD,"$504,950",5bd,4ba,"3,348 sqft"
12521 Grand Ave,"Mission Lake, Kansas City, MO",OLD,"$560,000",4bd,3ba,"3,695 sqft"
1230 W 61st Ter,"Stanford Gardens, Kansas City, MO",OLD,"$1,295,000",7bd,8ba,"6,632 sqft"
5516 Lydia Ave,"Eastern 49-63, Kansas City, MO",OLD,"$130,000",2bd,1ba,"2,294 sqft"
10311 N Quincy Ave,"Kansas City, MO",OLD,"$319,900",4bd,3ba,1 sqft
3707 E 68th St,"Self Help Neighborhood Council, Kansas City, MO",NEW,"$94,900",3bd,1ba,759 sqft
3820 Wyoming St,"Volker, Kansas City, MO",OLD,"$530,000",4bd,4ba,"6,149 sqft"
810 W 132nd Ter,"Martin City, Kansas City, MO",OLD,"$375,000",3bd,3ba,"2,816 sqft"
2242 E Gregory Blvd,"Bleheim Square - Research Hospital, Kansas City, MO",OLD,"$75,000",3bd,2ba,"1,056 sqft"
2104 NE 32nd St,"Kansas City, MO",OLD,"$175,000",3bd,1ba,"1,714 sqft"
6204 N Mattox Rd,"Kansas City, MO",OLD,"$825,000",5bd,6ba,"6,297 sqft"
4936 NE 48th St,"Kansas City, MO",OLD,"$118,950",3bd,1ba,"1,016 sqft"
9919 State Line Rd,"Lea Manor, Kansas City, MO",FOR SALE BY OWNER,"$310,000",3bd,3ba,"1,732 sqft"
6712 College Ave,"Self Help Neighborhood Council, Kansas City, MO",NEW,"$25,000",1bd,1ba,588 sqft
307 Elmwood Ave,"South India Mound, Kansas City, MO",OLD,"$214,900",3bd,2ba,"3,056 sqft"
4507 E 112th St,"Kansas City, MO",OLD,"$130,000",3bd,2ba,"1,056 sqft"
6904 NW 78th St,"Kansas City, MO",OLD,"$131,000",3bd,1ba,"1,341 sqft"
5119 NE 71st Pl,"Kansas City, MO",OLD,"$339,900",3bd,3ba,"2,248 sqft"
711 Ward Pkwy,"Sunset Hill, Kansas City, MO",OLD,"$2,950,000",4bd,7ba,"7,722 sqft"
5408 Scarritt Ave,"North India Mound, Kansas City, MO",OLD,"$105,000",2bd,1ba,806 sqft
3520 Cherry St,"Central Hyde Park, Kansas City, MO",OLD,"$325,000",4bd,4ba,"2,069 sqft"
3412 Forest Ave,"Kansas City, MO",OLD,"$119,900",2bd,1ba,"1,838 sqft"
4222 E 53rd Ter,"Swope Parkway - Elmwood, Kansas City, MO",OLD,"$114,900",4bd,2ba,"1,683 sqft"
11108 Wyandotte Ct,"Foxcroft and Glen Arbor, Kansas City, MO",OLD,"$529,900",4bd,4ba,"4,154 sqft"
800 Van Brunt Blvd,"Lykins, Kansas City, MO",OLD,"$50,000",2bd,1ba,756 sqft
5426 Kensington Ave,"Swope Parkway - Elmwood, Kansas City, MO",OLD,"$94,000",2bd,1ba,996 sqft
9405 N Ditzler Ave,"Kansas City, MO",OLD,"$343,900",3bd,3ba,"1,902 sqft"
12346 N Atkins Ave,"Kansas City, MO",NEW,"$226,950",3bd,2ba,"1,302 sqft"
3908 E 72nd St,"Norble and Gregory Ridge, Kansas City, MO",OLD,"$140,000",3bd,2ba,"2,356 sqft"
5441 Lydia Ave,"Eastern 49-63, Kansas City, MO",OLD,"$335,000",3bd,4ba,"2,250 sqft"
1629 W 50th St,"Westwood, Kansas City, MO",OLD,"$449,500",3bd,4ba,"1,875 sqft"
9800 N Revere Ave,"Kansas City, MO",OLD,"$1,696,000",5bd,7ba,"8,192 sqft"
9508 N Cosby Ave,"Kansas City, MO",OLD,"$472,075",4bd,4ba,"3,000 sqft"
915 E 29th St,"Longfellow, Kansas City, MO",OLD,"$314,000",5bd,3ba,"2,039 sqft"
5600 Noland Rd,"Blue Vue Hills, Kansas City, MO",OLD,"$349,000",3bd,2ba,"1,771 sqft"
8304 NE 89th Pl,"Kansas City, MO",OLD,"$465,900",4bd,4ba,"3,096 sqft"
4733 Terrace St,"West Plaza, Kansas City, MO",OLD,"$269,000",2bd,1ba,"2,042 sqft"
333 Bellefontaine Ave,"Sarritt Point, Kansas City, MO",OLD,"$297,000",4bd,3ba,"2,500 sqft"
8134 NW 89th St,"Kansas City, MO",OLD,"$435,000",3bd,3ba,"2,310 sqft"
2434 Tracy Ave,"Beacon Hills, Kansas City, MO",OLD,"$725,000",4bd,4ba,"3,390 sqft"
3033 College Ave,"Santa Fe, Kansas City, MO",OLD,"$129,900",4bd,2ba,"1,358 sqft"
3640 Cleveland Ave,"Palestine West and Oak Park Northeast, Kansas City, MO",NEW,"$25,000",2bd,1ba,"1,656 sqft"
101 W 125th Ter,"Blue Hills Estates, Kansas City, MO",OLD,"$474,900",3bd,3ba,"3,448 sqft"
5220 NE Barnes Ave,"Kansas City, MO",OLD,"$25,000",2bd,1ba,"1,306 sqft"
3216 Lockridge St,"Santa Fe, Kansas City, MO",OLD,"$149,900",5bd,2ba,"2,077 sqft"
10611 N Garfield Ave,"Kansas City, MO",OLD,"$850,000",5bd,6ba,"6,277 sqft"
307 W 97th Ter,"Willow Creek, Kansas City, MO",FOR SALE BY OWNER,"$189,000",3bd,2ba,"1,612 sqft"
