,region,new,price,bedrm,bth,sqft,crime,typ_val,val_pct,typ_sqft,sqft_pct,eschl,mschl,hschl,bsmnt,gas,forsdair,elctric,solar,dayonmark,yrbuilt,update,stories,n_rooms,garage,pp_sqft,roof,floors,exterior,lot_sz,prk_spc,parking,hoa_fee,sec_sys,pool,list_cnt,assess
10525 NW Shelby St,Kansas City,1,465000.0,5,4,2824,2,311861.0,49.0,166.0,-1.0,0,0,1,0,0,0,0,0,1.0,1964.0,0,2,9,0,165.0,1,2,5,2824.0,3.0,0,0,0,0,0,0
10525 NW Shelby St,Kansas City,1,465000.0,5,4,2824,2,311861.0,49.0,166.0,-1.0,0,0,1,0,0,0,0,0,1.0,1964.0,0,2,9,0,165.0,1,0,7,2824.0,3.0,0,0,0,0,0,0
1055 W 56th St,Kansas City,0,2799000.0,5,7,7444,1,478911.0,484.0,226.0,66.0,2,1,1,1,1,1,0,0,180.0,1935.0,0,2,12,1,376.0,5,6,6,7444.0,3.0,3,17,0,0,1,0
1057 Charleville Ave,Saint Louis,0,298999.0,4,2,2000,1,289575.0,3.0,198.0,-24.0,1,2,1,1,0,1,1,0,77.0,1925.0,0,1,6,0,149.0,1,7,5,7492.0,2.2,0,0,0,0,5,0
10578 Larkspur Dr,Saint Louis,0,365000.0,4,3,2329,1,182028.0,57.745222929936304,157.0,101.0,1,1,1,0,1,1,0,0,176.0,1970.0,0,2,8,1,157.0,1,2,5,8668.0,2.0,3,0,0,0,13,0
1059 N Rock Hill Rd,Saint Louis,0,272000.0,3,3,1120,1,289575.0,-6.0,198.0,23.0,1,2,1,0,1,1,0,0,52.0,1968.0,0,1,6,1,243.0,1,2,5,6751.0,2.0,3,0,0,0,2,0
1059 Wilson Ave,Saint Louis,0,255000.0,4,3,1623,1,216990.0,16.0,143.0,9.0,1,1,1,0,1,1,0,0,152.0,1939.0,0,1,6,1,155.0,1,5,5,7139.0,1.0,3,0,0,0,10,0
106 Gondolier Dr,Columbia,0,233800.0,2,2,1410,1,172020.0,36.0,108.0,54.0,1,1,1,0,1,1,0,0,47.0,2019.0,0,1,4,0,166.0,1,7,5,10018.0,2.2,0,8,1,0,2,0
10605 N Fisk Ave,Kansas City,1,412950.0,4,4,2436,2,311861.0,32.0,166.0,2.0,0,0,1,0,1,0,0,0,1.0,1964.0,0,2,8,1,170.0,1,2,5,2436.0,3.0,3,0,0,0,0,0
10605 N Fisk Ave,Kansas City,1,412950.0,4,4,2436,2,311861.0,32.0,166.0,2.0,0,0,1,0,1,0,0,0,1.0,1964.0,0,2,8,1,170.0,1,2,7,2436.0,3.0,3,0,0,0,0,0
10605 N Willow Ave,Kansas City,0,1075000.0,5,5,5019,1,306678.0,251.0,220.0,-3.0,1,0,1,1,1,1,0,0,25.0,2014.0,0,1,6,1,214.0,1,2,6,5019.0,3.0,3,39,0,0,2,0
10610 N Fisk Ave,Kansas City,1,423950.0,4,3,2525,2,311861.0,36.0,166.0,1.0,0,0,1,0,0,0,0,0,1.0,2020.0,0,2,7,0,168.0,1,6,6,2525.0,3.0,0,0,0,0,0,0
10610 N Fisk Ave,Kansas City,1,423950.0,4,3,2525,2,311861.0,36.0,166.0,1.0,0,0,1,0,0,0,0,0,1.0,2020.0,0,2,7,0,168.0,1,0,6,2525.0,3.0,0,0,0,0,0,0
10611 N Garfield Ave,Kansas City,0,850000.0,5,6,6277,1,243914.0,248.0,146.0,-7.0,1,1,1,1,0,0,0,0,171.0,2007.0,0,1,16,1,135.0,1,6,6,10890.0,4.0,3,96,0,0,1,0
10613 N Fisk Ave,Kansas City,1,379950.0,3,2,1648,2,311861.0,22.0,166.0,39.0,0,0,1,0,1,0,0,0,1.0,2020.0,0,1,5,1,231.0,1,7,7,1648.0,3.0,3,0,0,0,0,0
10613 N Fisk Ave,Kansas City,1,379950.0,3,2,1648,2,311861.0,22.0,166.0,39.0,0,0,1,0,1,0,0,0,1.0,2020.0,0,1,5,1,231.0,1,2,6,1648.0,3.0,3,0,0,0,0,0
10614 N Fisk Ave,Kansas City,1,420000.0,4,3,2165,2,311861.0,35.0,166.0,17.0,0,0,1,0,0,0,0,0,1.0,1964.0,0,2,7,0,194.0,1,7,6,2165.0,3.0,0,0,0,0,0,0
10614 N Fisk Ave,Kansas City,1,420000.0,4,3,2165,2,311861.0,35.0,166.0,17.0,0,0,1,0,0,0,0,0,1.0,1964.0,0,2,7,0,194.0,1,2,5,2165.0,3.0,0,0,0,0,0,0
