Used 2019 Buick Enclave FWD Avenir,"40,982",One Owner,No Accident / Damage Reported,GREAT,"9,497",2 wheel drive - front,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 26 Highway,White Frost Tricoat,Brandy
Used 2020 Ford F250 XL,"45,777",One Owner,No Accident / Damage Reported,GREAT,"6,436",4 wheel drive,8-Cylinder,10-Speed Automatic,Gasoline,Information Unavailable,Iconic Silver Metallic,Medium Earth Gray
Used 2018 Dodge Challenger SRT Hellcat,"58,989",Multiple Owners,Accident / Damage Reported,GREAT,"7,159",2 wheel drive - rear,8-Cylinder Supercharged,8-Speed Automatic,Gasoline,13 City / 22 Highway,Go Mango,Black
Used 2020 Ford F350 King Ranch,"78,989",One Owner,No Accident / Damage Reported,GREAT,"6,527",4 wheel drive,8-Cylinder Turbo,10-Speed Automatic,Diesel,8',Information Unavailable,Star White Metallic Tri-Coat
Used 2017 Ford Fusion SE,"16,000",One Owner,No Accident / Damage Reported,GREAT,"33,336",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,23 City / 34 Highway,Ingot Silver,Ebony
Used 2019 Honda Civic LX Sedan,"19,000",One Owner,No Accident / Damage Reported,GOOD,"6,842",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,30 City / 38 Highway,Lunar Silver Metallic,Black
Used 2019 Honda Civic Sport Sedan,"19,500",One Owner,No Accident / Damage Reported,GREAT,"14,330",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,30 City / 38 Highway,Aegean Blue Metallic,Black
Used 2017 Dodge Challenger SXT w/ Sound Group,"24,800",One Owner,No Accident / Damage Reported,GREAT,"10,541",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 30 Highway,Torred Clearcoat,Black
Used 2017 Ford Explorer 4WD XLT,"25,500",One Owner,No Accident / Damage Reported,GREAT,"40,418",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,16 City / 23 Highway,Blue Jeans Metallic,Medium Light Camel
Used 2019 Ford Edge FWD SEL,"27,500",One Owner,No Accident / Damage Reported,GREAT,"7,432",2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 29 Highway,Ingot Silver,Ebony
Used 2017 Ford Explorer 4WD Sport,"32,000",One Owner,No Accident / Damage Reported,GREAT,"36,850",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,16 City / 22 Highway,Shadow Black,Ebony Black
Used 2017 Ford F150 XLT,"36,750",One Owner,No Accident / Damage Reported,GREAT,"18,135",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,"5'6""",17 City / 23 Highway,Blue
Used 2020 Jeep Wrangler 4WD Unlimited Sahara,"41,775",Multiple Owners,No Accident / Damage Reported,GREAT,"7,787",4 wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,Information Unavailable,Bright White Clearcoat,Black
Used 2018 GMC Sierra 1500 Denali,"47,000",One Owner,No Accident / Damage Reported,GREAT,"24,859",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"5'10""",15 City / 20 Highway,Red Quartz Tintcoat
New 2020 Ford Fusion SE,"19,000",,,,0,2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,23 City / 34 Highway,Rapid Red Metallic Tinted Clearcoat - Red,Medium Light Stone Cloth
Used 2018 Cadillac Escalade 4WD Premium Luxury,"55,990",Multiple Owners,No Accident / Damage Reported,GREAT,"42,500",4 wheel drive,8-Cylinder,10-Speed Automatic,Gasoline,14 City / 21 Highway,Black Raven,Jet Black
Used 2015 Ford Escape FWD SE,"14,363",One Owner,No Accident / Damage Reported,GOOD,"44,731",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 30 Highway,Magnetic,Medium Light Stone
Used 2020 Toyota Corolla LE Sedan,"18,279",One Owner,No Accident / Damage Reported,GREAT,335,2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,30 City / 38 Highway,Celestite,Light Gray
Certified 2020 Hyundai Kona FWD SEL,"18,490",One Owner,No Accident / Damage Reported,GREAT,"12,251",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,27 City / 33 Highway,Ultra Black,Gray/Black
Used 2016 Nissan Rogue SL,"18,819",One Owner,Accident / Damage Reported,GOOD,"35,281",All wheel drive,4-Cylinder,Continuously Variable Automatic,Gasoline,25 City / 31 Highway,Magnetic Black,Charcoal
Used 2020 Hyundai Tucson FWD SE,"20,490",One Owner,No Accident / Damage Reported,GREAT,"8,400",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,23 City / 28 Highway,Dusk Blue,Black
Used 2015 Jeep Grand Cherokee Laredo,"17,690",Multiple Owners,No Accident / Damage Reported,GOOD,"96,633",4 wheel drive,6-Cylinder,8-Speed Automatic,Flexible Fuel,17 City / 24 Highway,Deep Cherry Red Crystal Pearlcoat,Black
Certified 2020 Hyundai Santa Fe FWD SEL,"24,590",One Owner,No Accident / Damage Reported,GREAT,"11,824",2 wheel drive - front,4-Cylinder,8-Speed Automatic,Gasoline,22 City / 29 Highway,Machine Gray,Black/Beige
Used 2020 Hyundai Sonata Limited,"29,180",One Owner,No Accident / Damage Reported,GREAT,43,2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,27 City / 36 Highway,Phantom Black,Dark Gray/Camel
Used 2017 Chevrolet Colorado LT,"30,295",One Owner,No Accident / Damage Reported,GREAT,"22,086",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,"5'2""",17 City / 24 Highway,Graphite Metallic
Used 2018 Ford F150 XLT,"34,295",One Owner,No Accident / Damage Reported,GREAT,"4,915",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Magnetic Metallic
Used 2020 Jaguar F-PACE Checkered Flag,"49,995",One Owner,No Accident / Damage Reported,GREAT,"6,538",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 27 Highway,Santorini Black Metallic,Ebony
Used 2013 Dodge Avenger SE,"8,726",Multiple Owners,Accident / Damage Reported,GOOD,"73,637",2 wheel drive - front,4-Cylinder,4-Speed Automatic,Gasoline,21 City / 28 Highway,White,Light Frost Beige/Black
Used 2017 Ford Fusion SE,"18,238",Multiple Owners,Accident / Damage Reported,GREAT,"29,738",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,21 City / 31 Highway,Black,Ebony
Used 2018 Toyota Camry SE,"22,570",One Owner,Accident / Damage Reported,GOOD,"5,227",2 wheel drive - front,4-Cylinder,8-Speed Automatic,Gasoline,29 City / 41 Highway,Predawn Gray Mica,Ash
Used 2007 Chevrolet Corvette Coupe,"23,052",Multiple Owners,No Accident / Damage Reported,GREAT,"55,236",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,15 City / 25 Highway,Silver,Ebony
Used 2014 Acura TL SH-AWD,"15,491",Multiple Owners,No Accident / Damage Reported,GREAT,"63,630",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,18 City / 26 Highway,Silver Moon,Ebony
Used 2019 Buick Encore FWD Preferred,"17,891",One Owner,No Accident / Damage Reported,GREAT,"4,265",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 30 Highway,Winterberry Red Metallic,Ebony
Used 2017 Kia Sorento LX,"18,791",One Owner,No Accident / Damage Reported,GREAT,"39,046",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 25 Highway,Platinum Graphite,Satin Black
Used 2018 Kia Niro EX,"19,791",One Owner,No Accident / Damage Reported,GREAT,"24,825",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Hybrid Gas/Electric,Information Unavailable,51 City / 46 Highway,Snow White Pearl
Used 2018 Chevrolet Equinox AWD LT w/ 1LT,"20,491",One Owner,No Accident / Damage Reported,GREAT,"20,121",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,24 City / 30 Highway,Silver Ice Metallic,Jet Black
Used 2020 Chevrolet Equinox LT,"22,591",Multiple Owners,No Accident / Damage Reported,GREAT,"13,476",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 30 Highway,Satin Steel Metallic,Jet Black
