,year,brand,make_model,price,price_bin,price_rating,mileage,mileage_15,mpg_city,mpg_highway,combined_mpg,condition,accident,one_owner,drive_type,fuel_type,engine,engine_#,automatic,turbo,electric,transmission,trans_#,interior,exterior,color
170,2011,9,Toyota Prius Three,9999.0,1,2,80709,13,0,0,0,1,1,0,0,3,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,White,N/A,N/A
171,2017,3,Ford Fiesta SE Hatchback,10663.0,2,1,26687,5,27,37,64,1,0,0,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Ingot Silver Metallic,Ingot
172,2017,3,Ford Focus SE Sedan,11965.0,2,2,44114,10,0,0,0,1,1,1,0,1,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Magnetic Metallic,Metallic
173,2019,3,Ford Fiesta S Sedan,12488.0,2,1,7803,2,27,37,64,1,1,1,0,0,4-Cylinder,4,1,0,0,6-Speed Shiftable Automatic,6,Black,Ingot Silver Metallic,Ingot
174,2011,14,Lincoln MKZ,12588.0,2,0,26256,5,18,26,44,1,0,0,0,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,White Platinum Metallic Tri-Coat,White
175,2020,8,GMC Terrain FWD SLE,31465.0,11,0,7,0,26,30,56,3,1,1,0,0,4-Cylinder Turbo,4,1,1,0,9-Speed Automatic,9,Black,Quicksilver Metallic - Gray,Metallic
176,2018,2,Dodge Journey FWD SE,13977.0,3,2,75629,13,19,25,44,1,1,1,0,0,4-Cylinder,4,1,0,0,4-Speed Automatic,4,Black,Vice White,White
177,2015,16,Jeep Compass Latitude,15477.0,3,1,26670,5,21,27,48,1,1,0,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Gray,True Blue Pearlcoat,Blue
178,2019,3,Ford EcoSport 4WD S,15977.0,3,2,13144,2,23,29,52,1,1,1,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,N/A,Shadow Black,Black
179,2013,7,Honda Accord EX-L,15989.0,3,1,52307,11,21,34,55,1,1,1,0,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Gray,Modern Steel Metallic,Metallic
180,2016,14,Lincoln MKZ Hybrid,17434.0,4,2,46137,10,0,0,0,1,1,0,0,3,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Metallic,N/A,N/A
181,2014,3,Ford Explorer 4WD XLT,17446.0,4,2,84496,13,17,23,40,1,1,0,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,Sterling Gray Metallic,Gray
182,2014,3,Ford Explorer 4WD XLT,17955.0,4,2,77586,13,17,23,40,1,0,0,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Black,Sterling Gray Metallic,Gray
183,2017,3,Ford Escape FWD Titanium,18499.0,5,2,35566,8,22,29,51,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Ingot Silver Metallic,Ingot
184,2018,8,GMC Terrain FWD SLE,18557.0,5,2,28199,6,26,30,56,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,9-Speed Automatic,9,Gray,Red Quartz Tintcoat,Red
185,2017,3,Ford Escape FWD Titanium,18922.0,5,2,39173,9,22,29,51,2,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Magnetic Metallic,Metallic
186,2018,0,Chevrolet Equinox FWD LT w/ 1LT,18977.0,5,2,23894,4,26,32,58,1,0,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Storm Blue Metallic,Blue
187,2018,3,Ford Escape FWD Titanium,19398.0,5,2,29484,6,21,28,49,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,N/A,Ingot Silver Metallic,Ingot
188,2015,0,Chevrolet Camaro LT Coupe w/ RS Package,19862.0,5,1,49147,11,0,0,0,1,0,0,2,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Black,Ashen Gray Metallic,Gray
189,2017,0,Chevrolet Malibu Premier w/ 2LZ,19954.0,5,2,40774,9,22,33,55,1,0,1,0,0,4-Cylinder Turbo,4,1,1,0,9-Speed Automatic,9,Brown,Nightfall Gray Metallic,Gray
190,2017,3,Ford Escape 4WD Titanium,19987.0,5,2,44173,10,20,27,47,1,0,1,1,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Ruby Red Metallic Tinted Clearcoat,Red
191,2020,3,Ford Fusion SE,20445.0,6,1,2245,0,23,34,57,1,1,0,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Ebony,Agate Black Metallic,Black
192,2020,3,Ford Fusion SE,20477.0,6,1,3900,1,23,34,57,1,1,0,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Ebony,Iconic Silver Metallic,Silver
193,2020,3,Ford Fusion SE,20788.0,6,1,2298,0,23,34,57,1,1,0,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Ebony,Rapid Red Metallic Tinted Clearcoat,Red
194,2018,12,Nissan Rogue SL,22995.0,7,2,25909,5,25,32,57,1,1,1,1,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,N/A,Pearl White,Pearl
195,2015,3,Ford Expedition EL 2WD Limited,24989.0,8,2,73870,13,15,21,36,1,1,0,2,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,N/A,Tuxedo Black Metallic,Black
