,0,1,2,3,4,5,6,7,8,9
876,Used 2019 GMC Sierra 1500 2WD Double Cab Elevation,"35,990","16,635",2 wheel drive - rear,8-Cylinder,8-Speed Automatic,Gasoline,"6'7""",17 City / 23 Highway,Brown
877,Used 2017 Chevrolet Camaro SS Coupe w/ 1SS,"37,590","1,508",2 wheel drive - rear,8-Cylinder,6-Speed Manual,Gasoline,16 City / 25 Highway,Blue,Black
878,Used 2012 Chevrolet Corvette Grand Sport Convertible,"37,590","28,397",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,15 City / 24 Highway,Red,Black
879,New 2020 Honda Passport AWD EX-L,"36,230",5,All wheel drive,6-Cylinder,9-Speed Automatic,Gasoline,19 City / 24 Highway,Deep Scarlet Pearl,Gray
880,Used 2012 RAM 2500 SLT,"37,990","39,112",4 wheel drive - rear wheel default,6-Cylinder Turbo,Information Unavailable,Diesel,"6'4""",Information Unavailable,Gray
881,Used 2020 Jeep Wrangler 4WD Unlimited Sport,"37,990","2,670",4 wheel drive,6-Cylinder,6-Speed Manual,Gasoline,17 City / 23 Highway,Black,Black
882,Used 2014 Chevrolet Corvette Stingray Coupe,"38,990","56,969",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,16 City / 27 Highway,Silver,Black
883,Used 2020 Dodge Charger Scat Pack,"43,990","1,076",2 wheel drive - rear,8-Cylinder,8-Speed Automatic,Gasoline,15 City / 24 Highway,Black,Black
884,Used 2019 Toyota Tundra 4x4 CrewMax Limited,"44,990","23,053",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"5'6""",13 City / 17 Highway,Black
885,Used 2019 Ford F250 XLT,"45,590","51,665",4 wheel drive,8-Cylinder Turbo,6-Speed Automatic,Diesel,8',Information Unavailable,White
886,Used 2017 Dodge Charger SRT Hellcat,"58,990","28,320",2 wheel drive - rear,8-Cylinder Supercharged,8-Speed Automatic,Gasoline,13 City / 22 Highway,Black,Black
887,Used 2013 Chevrolet Cruze LS,"6,828","120,935",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,22 City / 34 Highway,Silver,Jet Black
888,Used 2017 Chevrolet Cruze LT Sedan,"10,800","91,798",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,30 City / 40 Highway,Silver,Jet Black
889,Used 2015 Kia Optima EX,"11,254","89,649",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,23 City / 33 Highway,White,Beige
890,Used 2018 Kia Soul +,"12,999","63,665",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,25 City / 30 Highway,Gray,Black
891,Used 2016 Kia Cadenza,"13,359","95,111",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,19 City / 28 Highway,Silky Silver Metallic,Black
892,Used 2020 Kia Soul S,"16,841","16,362",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,27 City / 33 Highway,Cherry Black,Black
893,Used 2019 Mitsubishi Outlander SEL,"17,800","35,034",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,25 City / 30 Highway,Black,Black
894,Used 2019 Toyota Camry LE,"18,399","35,429",2 wheel drive - front,4-Cylinder,8-Speed Automatic,Gasoline,29 City / 41 Highway,Black,Black
895,Used 2019 Nissan Rogue SV,"19,800","29,300",All wheel drive,4-Cylinder,Continuously Variable Automatic,Gasoline,25 City / 32 Highway,Blue,Charcoal
896,Used 2019 Nissan Rogue SV,"19,999","26,664",All wheel drive,4-Cylinder,Continuously Variable Automatic,Gasoline,25 City / 32 Highway,Silver,Charcoal
897,Used 2019 Kia Sorento LX,"20,499","19,345",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,22 City / 29 Highway,Silver,Satin Black
898,Used 2020 Chevrolet Impala LT w/ 1LT,"21,844","14,003",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,18 City / 28 Highway,Silver Ice Metallic,Jet Black
899,Used 2019 Toyota RAV4 AWD LE,"23,373","30,258",All wheel drive,4-Cylinder,8-Speed Automatic,Gasoline,27 City / 34 Highway,Silver Sky Metallic,Black
900,New 2020 Buick Encore FWD Preferred,"26,390MSRP",6,2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 30 Highway,Summit White - White,Ebony Leather
901,Used 2010 Chevrolet Camaro SS Coupe,"25,990","6,553",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,16 City / 25 Highway,Red,Black
902,Used 2020 GMC Terrain AWD SLT,"24,899","27,757",All wheel drive,4-Cylinder Turbo,9-Speed Automatic,Gasoline,25 City / 28 Highway,Ebony Twilight Metallic,Light Platinum/Taupe
903,Used 2019 Nissan Pathfinder SL,"25,999","29,923",4 wheel drive,6-Cylinder,Continuously Variable Automatic,Gasoline,19 City / 26 Highway,Charcoal,Charcoal
904,Used 2019 Volkswagen Beetle 2.0T Final Edition SE,"28,999","14,120",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,26 City / 33 Highway,Safari Uni/Black Roof,Cornsilk Beige/Titan Black
905,Used 2018 Ford EcoSport 4WD SE,"16,994","6,818",4 wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,23 City / 29 Highway,White Platinum Metallic Tri-Coat,Ebony Black
